_RAJ2000,_DEJ2000,X,CRTS,RAJ2000,DEJ2000,Vmax,l_Vmin,Vmin,Ndet,Det,Ref,Simbad,recno
04 47 25.4000,+09 24 39.500,,J044725.4+092439,04 47 25.40,+09 24 39.5,15.2,,18.0,1,CSS081201:044725+092439,,Simbad,158
04 48 05.8200,-10 41 34.500,,J044805.8-104134,04 48 05.82,-10 41 34.5,17.7,,,2,CSS091023:044806-104134,,Simbad,159
04 49 02.6800,-18 41 28.900,,J044902.7-184129,04 49 02.68,-18 41 28.9,14.9,,16.8,3,CSS110114:044903-184129,,Simbad,160
04 49 47.2600,+25 41 44.700,,J044947.3+254145,04 49 47.26,+25 41 44.7,18.4,,21.0,1,MLS120129:044947+254145,,Simbad,161
04 53 02.6100,+11 58 00.500,,J045302.6+115800,04 53 02.61,+11 58 00.5,17.1,,20.9,2,CSS111116:045303+115800,,Simbad,162
04 56 46.4200,+06 04 56.000,,J045646.4+060456,04 56 46.42,+06 04 56.0,15.4,>,20.4,1,CSS100219:045646+060456,,Simbad,163
04 58 03.2100,+10 53 56.700,,J045803.2+105357,04 58 03.21,+10 53 56.7,18.0,>,21.9,1,CSS100406:045803+105357,,Simbad,164
04 59 28.0500,+21 04 56.500,,J045928.0+210457,04 59 28.05,+21 04 56.5,19.9,,,1,MLS120225:045928+210457,,Simbad,165
04 59 44.0300,+19 26 22.600,,J045944.0+192622,04 59 44.03,+19 26 22.6,14.9,,18.0,3,V1208 Tau,,Simbad,166
04 59 55.0900,+20 48 51.100,,J045955.1+204851,04 59 55.09,+20 48 51.1,17.1,,,1,MLS101225:045955+204851,,Simbad,167
04 59 59.3400,-47 38 08.500,,J045959.3-473808,04 59 59.34,-47 38 08.5,15.3,,,1,SSS110402:045959-473808,,Simbad,168
05 01 24.1300,+20 38 17.900,,J050124.1+203818,05 01 24.13,+20 38 17.9,15.0,,17.5,3,CSS091024:050124+203818,,Simbad,169
05 01 57.2300,-48 39 00.800,,J050157.2-483901,05 01 57.23,-48 39 00.8,17.2,,,1,SSS120112:050157-483901,,Simbad,170
05 02 53.1200,+17 10 41.500,,J050253.1+171041,05 02 53.12,+17 10 41.5,16.2,,18.6,2,MLS101203:050253+171041,III,Simbad,171
05 03 18.5300,+08 43 50.500,,J050318.5+084350,05 03 18.53,+08 43 50.5,17.7,,,0,CSS100108:050319+084350,,Simbad,172
05 05 26.8400,+08 34 14.500,,J050526.8+083415,05 05 26.84,+08 34 14.5,15.8,,18.1,1,CSS100321:050527+083415,II,Simbad,173
05 06 59.2400,-16 59 32.000,,J050659.2-165932,05 06 59.24,-16 59 32.0,14.5,,18.7,2,CSS090220:050659-165932,,Simbad,174
05 07 16.2300,+12 53 14.200,,J050716.2+125314,05 07 16.23,+12 53 14.2,16.4,,19.9,8,CSS081221:050716+125314,,Simbad,175
05 08 47.5600,-09 34 47.000,,J050847.6-093447,05 08 47.56,-09 34 47.0,,,,1,CSS101211:050848-093447,,Simbad,176
05 11 20.9400,+11 34 43.300,,J051120.9+113443,05 11 20.94,+11 34 43.3,17.1,,21.7,2,CSS111118:051121+113443,,Simbad,177
